p,d,q,P,D,Q,AIC,BIC,order,seasonal_order
2,1,0,1,2,1,213.5109092484327,214.4970321351138,"(2, 1, 0)","(1, 2, 1, 12)"
2,1,1,0,2,1,213.77452818876657,214.76065107544767,"(2, 1, 1)","(0, 2, 1, 12)"
0,0,2,2,1,2,213.95188912158088,215.3324611629344,"(0, 0, 2)","(2, 1, 2, 12)"
0,1,1,1,2,1,214.04776612978037,214.83666443912526,"(0, 1, 1)","(1, 2, 1, 12)"
1,1,1,0,2,1,214.2559911610791,215.04488947042398,"(1, 1, 1)","(0, 2, 1, 12)"
2,2,0,1,1,2,214.38292879605112,215.56627626006843,"(2, 2, 0)","(1, 1, 2, 12)"
1,2,0,2,1,1,214.65047396946883,215.63659685614994,"(1, 2, 0)","(2, 1, 1, 12)"
1,2,0,1,1,2,214.66463687245673,215.65075975913783,"(1, 2, 0)","(1, 1, 2, 12)"
0,2,0,2,1,2,215.4279709291154,216.4140938157965,"(0, 2, 0)","(2, 1, 2, 12)"
2,1,1,1,2,1,215.5503319180954,216.7336793821127,"(2, 1, 1)","(1, 2, 1, 12)"
1,1,1,1,2,1,216.0346115073402,217.0207343940213,"(1, 1, 1)","(1, 2, 1, 12)"
2,1,1,1,2,0,216.22412503798034,217.21024792466145,"(2, 1, 1)","(1, 2, 0, 12)"
1,2,0,2,1,2,216.6504304473572,217.8337779113745,"(1, 2, 0)","(2, 1, 2, 12)"
2,2,0,0,2,1,217.03784366607462,217.8267419754195,"(2, 2, 0)","(0, 2, 1, 12)"
2,1,0,1,2,0,217.6698298724585,218.4587281818034,"(2, 1, 0)","(1, 2, 0, 12)"
0,2,0,0,2,1,218.47621992112755,218.87066907579998,"(0, 2, 0)","(0, 2, 1, 12)"
1,2,0,0,2,1,219.01222661952482,219.60390035153347,"(1, 2, 0)","(0, 2, 1, 12)"
2,1,2,1,2,0,219.5396012844,220.7229487484173,"(2, 1, 2)","(1, 2, 0, 12)"
0,2,0,1,2,1,220.4536970055209,221.04537073752954,"(0, 2, 0)","(1, 2, 1, 12)"
1,2,1,1,2,0,220.85769445706282,221.6465927664077,"(1, 2, 1)","(1, 2, 0, 12)"
1,2,0,1,2,1,220.97168546898448,221.76058377832936,"(1, 2, 0)","(1, 2, 1, 12)"
1,2,0,1,2,0,222.01483372756763,222.60650745957628,"(1, 2, 0)","(1, 2, 0, 12)"
1,2,2,1,2,0,222.73016931511808,223.71629220179918,"(1, 2, 2)","(1, 2, 0, 12)"
0,1,0,0,1,2,226.41484703616953,227.32260231515167,"(0, 1, 0)","(0, 1, 2, 12)"
0,1,0,1,1,2,227.60238206496592,228.8127224369421,"(0, 1, 0)","(1, 1, 2, 12)"
1,1,2,2,1,0,227.6694754516712,229.48498600963546,"(1, 1, 2)","(2, 1, 0, 12)"
2,0,1,0,1,2,227.71846386490506,229.53397442286933,"(2, 0, 1)","(0, 1, 2, 12)"
1,1,0,2,1,0,227.80804018372496,229.01838055570113,"(1, 1, 0)","(2, 1, 0, 12)"
2,1,0,0,1,2,228.02570557558195,229.5386310405522,"(2, 1, 0)","(0, 1, 2, 12)"
1,1,0,0,1,2,228.57613114274784,229.786471514724,"(1, 1, 0)","(0, 1, 2, 12)"
1,1,1,2,1,0,228.63368629611446,230.1466117610847,"(1, 1, 1)","(2, 1, 0, 12)"
2,0,0,2,1,0,228.66094899793887,230.1738744629091,"(2, 0, 0)","(2, 1, 0, 12)"
2,0,0,2,1,1,228.6754222450479,230.49093280301219,"(2, 0, 0)","(2, 1, 1, 12)"
1,1,2,2,1,1,228.71527734723244,230.83337299819075,"(1, 1, 2)","(2, 1, 1, 12)"
2,0,2,2,1,0,229.17834635902528,231.2964420099836,"(2, 0, 2)","(2, 1, 0, 12)"
0,1,0,2,1,2,229.55446740956796,231.0673928745382,"(0, 1, 0)","(2, 1, 2, 12)"
2,1,0,1,1,2,229.62083147290537,231.43634203086964,"(2, 1, 0)","(1, 1, 2, 12)"
1,0,1,0,1,2,229.70852490270656,231.2214503676768,"(1, 0, 1)","(0, 1, 2, 12)"
1,1,0,2,1,1,229.7496219380579,231.26254740302815,"(1, 1, 0)","(2, 1, 1, 12)"
1,1,0,1,1,2,229.79439979272288,231.30732525769312,"(1, 1, 0)","(1, 1, 2, 12)"
2,0,1,2,1,0,229.8303838991856,231.64589445714986,"(2, 0, 1)","(2, 1, 0, 12)"
1,0,1,1,1,2,230.08667939929643,231.9021899572607,"(1, 0, 1)","(1, 1, 2, 12)"
1,1,1,2,1,1,230.2241051476644,232.03961570562868,"(1, 1, 1)","(2, 1, 1, 12)"
2,0,0,2,1,2,230.66907573975732,232.78717139071563,"(2, 0, 0)","(2, 1, 2, 12)"
0,0,1,0,1,2,230.7119624012854,231.92230277326158,"(0, 0, 1)","(0, 1, 2, 12)"
0,2,0,2,1,0,230.8946564098657,231.80241168884783,"(0, 2, 0)","(2, 1, 0, 12)"
